Nom de la fête ou manifestation;Catégorie de la fête ou manifestation;Adresse1;Adresse partie 1 suite;Adresse partie 2;Adresse partie 3;Code postal;Commune de la fête ou manifestation;Bureau distributeur de l'adresse postale;Cedex de l'adresse postale;Code Insee de la Commune;Latitude;Longitude;Point d'accès/Nom/distance en km;N° de téléphone fixe;N° de téléphone mobile;N° de fax;localisation;departement
EXPOSITION D'AQUARELLES;Exposition;;;Salle René Deffain;29 Grande Rue;44770;PREFAILLES;;;44136;47.12861;-2.21689;;02 40 64 75 97;;;47.12861,-2.21689;Loire-Atlantique
EXPOSITION DE DESSINS PAR ANDRE THIBAUD;Exposition;;;Salle d'exposition;13 place de l'Eglise Madame;44760;LES MOUTIERS-EN-RETZ;;;44106;47.06361;-2.00062;;02 40 82 72 05;;;47.06361,-2.00062;Loire-Atlantique
EXPOSITION DE DINOSAURES;Exposition;;Parking à coté du Novotel;Boulevard Robert Schuman;;72100;LE MANS;;;72181;47.99156;0.233198;;;06 24 75 38 95;;47.99156,0.233198;Sarthe
EXPOSITION DE MOTOS;Exposition;Salles P. Richard et A. Delhalle;;;;72450;MONTFORT-LE-GESNOIS;;;72241;48.0543056;0.38835956;;;;;48.0543056,0.38835956;Sarthe
EXPOSITION DE PEINTURES PAR ISABELLE DE SOUSA;Exposition;;;Salle d'exposition;13 place de l'Eglise Madame;44760;LES MOUTIERS-EN-RETZ;;;44106;47.06361;-2.0006;;02 40 82 72 05;;;47.06361,-2.0006;Loire-Atlantique
EXPOSITION DES PEINTURES DE RAMON LOPEZ - JAZZ PAINTINGS;Exposition;Office de Tourisme Maine Saosnois;;50 Place Carnot;;72600;MAMERS;;;72180;48.3509053;0.36970354;;02 43 97 60 63;;;48.3509053,0.36970354;Sarthe
EXPOSITION IKEBANA;Stages-Atelier-Jeux;;;Route de Mauléon;Salle des Fêtes;49360;MAULEVRIER;;;49192;47.00581;-0.74454;;02 41 55 50 14;;02 41 55 48 89;47.00581,-0.74454;Maine-et-Loire
EXPOSITION IL FAUT QUE TU REVOIES TA COPIE - ATELIER LEGAULT;Exposition;;Atelier Legault;Place de la République;Pouancé;49420;OMBRÉE D'ANJOU;;;49248;47.7397071;-1.1762593;;02 41 92 90 62;;;47.7397071,-1.1762593;Maine-et-Loire
EXPOSITION LE BLUES DU POSÉÎDON À LA GRAFFITI COMPAGNIE;Exposition;;;27 rue du général Leclerc;;44510;LE POULIGUEN;;;44135;47.27839;-2.43006;;06 07 13 36 50;;;47.27839,-2.43006;Loire-Atlantique
EXPOSITION MAISON DES ARTS : FRÉDÉRIC TAILLIEZ;Exposition;;;Place Olivier Guichard;;44410;ASSERAC;;;44006;47.42931;-2.39061;;02 40 01 70 00;;;47.42931,-2.39061;Loire-Atlantique
