Nom de la fête ou manifestation;Catégorie de la fête ou manifestation;Adresse1;Adresse partie 1 suite;Adresse partie 2;Adresse partie 3;Code postal;Commune de la fête ou manifestation;Bureau distributeur de l'adresse postale;Cedex de l'adresse postale;Code Insee de la Commune;Latitude;Longitude;Point d'accès/Nom/distance en km;N° de téléphone fixe;N° de téléphone mobile;N° de fax;localisation;departement
EXPOSITION PHOTO  REGARDS INSOLITES »;Exposition;Médiathèque Jean d’Ormesson;;;;72400;LA FERTE-BERNARD;;;72132;48.1840171;0.65149594;;02 43 93 24 44;;;48.1840171,0.65149594;Sarthe
EXPOSITION PLANCHES DE DESSINS DE PRESSE DU CANARD ENCHAINE;Exposition;;;Médiathèque Armel de Wismes;35 rue Tartifume;44210;PORNIC;;;44131;47.11699;-2.10118;;02 40 82 65 90;;;47.11699,-2.10118;Loire-Atlantique
EXPOSITION À LA GALERIE L'AQUARELLE;Exposition;;;;3, place de l'Eglise;49220;GREZ-NEUVILLE;;;49155;47.602715;-0.6876694;;;;;47.602715,-0.6876694;Maine-et-Loire
EXPOSITION:HISTOIRES DE FAUSSES NOUVELLES;Exposition;;;Médiathèque Armel de Wismes;35 rue Tartifume;44210;PORNIC;;;44131;47.11699;-2.10118;;02 40 82 65 90;;;47.11699,-2.10118;Loire-Atlantique
FAITES DU VÉLO !;Manifestation sportive;;;;;72400;LA FERTE-BERNARD;;;72132;48.1838599;0.65164883;;02 43 60 72 72;;;48.1838599,0.65164883;Sarthe
FESTIVAL ET SI ON CHANTAIT ?;Concert;;;15 rue de la Mairie;;49330;ETRICHE;;;49132;47.6501041;-0.4431406;;;06 83 83 42 45;;47.6501041,-0.4431406;Maine-et-Loire
FESTIVAL DE L'EPAU;Festival;;Abbaye Royale de l'Epau;Route de Changé;;72530;YVRE L'EVEQUE;;;72181;47.9839581;0.2506153;;02 43 54 72 70;;;47.9839581,0.2506153;Sarthe
FESTIVAL L'OEIL DU BOUILLON;Festival;;;Halles;;44190;CLISSON;;;44043;47.08719;-1.2821063;;;;;47.08719,-1.2821063;Loire-Atlantique
FESTIVAL LE PRINTEMPS DE LA MUSIQUE ANCIENNE EN MAYENNE;Concert;;;Rue du Vieux Saint-Louis;;53000;LAVAL;;;53130;48.08779;-0.7773;;;06 61 88 27 26;;48.08779,-0.7773;Mayenne
FESTIVAL LE RIVAGE DES VOIX :  THE GESUALDO SIX OWAIN PARK DIRECTION;Concert;;Abbatiale;Rue Charles de Renéville;SAINT FLORENT LE VIEIL;49410;MAUGES-SUR-LOIRE;;;49244;47.36402;-1.01999;;02 41 75 38 34;;;47.36402,-1.01999;Maine-et-Loire
FESTIVAL MOZART EN LOIRE LAYON - PIANO PAR GUILLAUME COPPOLA;Festival;Château de la Fresnaye;;;;49190;VAL-DU-LAYON;;;49292;47.31049;-0.66678;;02 41 78 61 78;06 09 62 77 27;;47.31049,-0.66678;Maine-et-Loire
FESTIVINI VIGNES VINS RANDOS : AOC SAUMUR-CHAMPIGNY;Randonnée;;;;;49730;PARNAY;;;49235;47.232219;0.008981;;;;;47.232219,0.008981;Maine-et-Loire
FESTIVITÉS DU 14 JUILLET;Concert;;;Port et pointe des Caillonis;;44420;PIRIAC-SUR-MER;;;44125;47.37908;-2.54556;;02 40 23 50 19;;;47.37908,-2.54556;Loire-Atlantique
FETE DE L'ANE;Stages-Atelier-Jeux;;;2 La Basse Chantrie;;44320;CHAUVE;;;44038;47.1328;-1.9887;;06 13 29 27 53;;;47.1328,-1.9887;Loire-Atlantique
FETE DE L'ANE ET DU CHEVAL PERCHERON;Fêtes populaires;;Arche de la Nature;Plaine de la Futaie;;72000;LE MANS;;;72181;47.9966861;0.26596646;;02 43 47 40 00;;;47.9966861,0.26596646;Sarthe
FETE DU PLAN D'EAU;Concert;Base de loisirs de Brûlon;;Rue de Buet;;72350;BRULON;;;72050;47.967842;-0.230512;;;06 77 89 49 18;;47.967842,-0.230512;Sarthe
FOL'CAR DE MAYENNE;Manifestation sportive;;;Circuit Maurice Forget;;53100;CHATILLON-SUR-COLMONT;;;53064;48.3200743;-0.773457;Route (nationale/départ.)||N12||,Gare SNCF||LAVAL||30;;;;48.3200743,-0.773457;Mayenne
FORMATION COMPOSTAGE;Stages-Atelier-Jeux;;;Boulevard des Régents;;44270;MACHECOUL-SAINT-MEME;;;44087;46.9953;-1.82033;;;;;46.9953,-1.82033;Loire-Atlantique
FÊTE DE L'ÉTÉ;Fêtes populaires;Ecole élémentaire Claude Chappe;;;;72470;SAINT-MARS-LA-BRIERE;;;72300;48.0290466;0.3702594;;;06 31 05 92 16;;48.0290466,0.3702594;Sarthe
FÊTE DE LA MOULE;;;;Parking de Port Giraud;Port Giraud;44770;LA PLAINE-SUR-MER;;;44126;47.15723;-2.19411;;;06 77 90 74 51;;47.15723,-2.19411;Loire-Atlantique
FÊTE DE LA MUSIQUE;Manifestation Nationale;Stade du Landon;;;;72370;LE BREIL-SUR-MERIZE;;;72046;48.009836;0.478574;;02 43 89 83 13;;;48.009836,0.478574;Sarthe
FÊTE DE LA MUSIQUE 2022;Manifestation Nationale;;;Centre-ville;;53120;GORRON;;;53107;48.4106756;-0.8129047;Route (nationale/départ.)||D33||;02 43 30 10 50;;;48.4106756,-0.8129047;Mayenne
FÊTE DES BATTAGES;Fêtes populaires;;;Bourg de La Chevallerais;;44810;LA CHEVALLERAIS;;;44221;47.4675299;-1.6641189;Gare SNCF||Gare de Nantes||33,Route (nationale/départ.)||RN 137||5,Halte fluviale||Halte nautique de La Chevallerais||0,5;;;;47.4675299,-1.6641189;Loire-Atlantique
FÊTE DES PAPAS;Stages-Atelier-Jeux;Salle Adrien MARTIN;;;;72320;GREEZ-SUR-ROC;;;72144;48.13784;0.79544;;07 67 59 16 52;;;48.13784,0.79544;Sarthe
FÊTE DU MIEL ET MARCHÉ GOURMAND AUX JARDINS DES RENAUDIES;Visites et sorties à thèmes;Les Jardins des Renaudies;;Les Mézerais;;53120;COLOMBIERS-DU-PLESSIS;;;53071;48.375127;-0.8679401;Route (nationale/départ.)||D504||1,8;02 43 08 02 08;;;48.375127,-0.8679401;Mayenne
FÊTE DU TENNIS;;;;Rue de Kervenel;Tennis Club Croisicais;44490;LE CROISIC;;;44049;47.28884;-2.51403;;02 40 23 00 70;;;47.28884,-2.51403;Loire-Atlantique
FÊTE DU VÉLO;Spectacle;;;Place de l'Eglise Madame;;44760;LES MOUTIERS-EN-RETZ;;;44106;47.06281;-2.00076;;02 40 82 72 05;;;47.06281,-2.00076;Loire-Atlantique
FÊTE MÉDIÉVALE;Exposition;;;boulevard de Dinkelsbühl;;44350;GUERANDE;;;44069;47.32665;-2.42767;;02 40 15 38 97;;;47.32665,-2.42767;Loire-Atlantique
FÊTE NATIONALE;Feux d'artifice;;;Avenue de la Plage Eric Tabarly;;44770;PREFAILLES;;;44136;47.12784;-2.22078;;02 40 21 60 37;;;47.12784,-2.22078;Loire-Atlantique
FÊTE NATIONALE;Feux d'artifice;Cour du Logis;;;;72320;SAINT-MAIXENT;;;72296;48.089987;0.651629;;06 16 35 31 10;;;48.089987,0.651629;Sarthe
GAROU;Concert;;Palais des Congrès;rue d'Arcole;;72000;LE MANS;;;72181;48.0007657;0.19202859;;02 43 43 59 59;;;48.0007657,0.19202859;Sarthe
GOLF - RENCONTRES DE L'ETÉ;Conférence;;;Complexe de la Vigne;Rue des Sports;44420;MESQUER;;;44097;47.39639;-2.45199;;;;;47.39639,-2.45199;Loire-Atlantique
GRAND MARCHÉ DU CENTRE-VILLE;Marché;;;place Leclerc;place Imbach;49000;ANGERS;;;49007;47.4737337;-0.5475705;;;;;47.4737337,-0.5475705;Maine-et-Loire
GÉRÉMY CRÉDEVILLE - ENFIN;Spectacle;Les Angenoises;;55 Rue du Maine;;53960;BONCHAMP-LES-LAVAL;;;53034;48.07531;-0.69949;;;;;48.07531,-0.69949;Mayenne
HALL'N JAZZ - STOMP STOMP;Concert;;;Les Halles;;44760;LA BERNERIE-EN-RETZ;;;44012;47.0806;-2.03653;;02 40 82 70 56;;02 40 64 79 58;47.0806,-2.03653;Loire-Atlantique
HEURE DU CONTE À MISSILLAC;Contes et lectures;;;27 rue du château;Bibliothèque;44780;MISSILLAC;;;44098;47.48233;-2.16106;;02 40 01 40 10;;;47.48233,-2.16106;Loire-Atlantique
HULA-HOOP & HOOPDANCE;Stages-Atelier-Jeux;;Salle Guinefolle;;;53100;SAINT-GEORGES-BUTTAVENT;;;53219;48.31021;-0.69403;;;06 51 13 95 08;;48.31021,-0.69403;Mayenne
IMMERSION AU CŒUR DU PROJET LIFE AVALOIRS;Sortie nature / environnement;Parking des Clairventes;;;;53250;VILLEPAIL;;;53272;48.4203862;-0.2115509;;02 33 81 13 33;;;48.4203862,-0.2115509;Mayenne
INITIATION À LA GÉNÉALOGIE;Stages-Atelier-Jeux;Salle des fêtes;;;;72320;BERFAY;;;72032;47.9932661;0.76445358;;02 43 60 76 89;;;47.9932661,0.76445358;Sarthe
JEU DE DAMES;Spectacle;;Cabaret Café-Théâtre Le Pâtis;38-40 Rue d'Eichthal;;72000;LE MANS;;;72181;47.9999606;0.1848751;;02 43 87 75 72;;;47.9999606,0.1848751;Sarthe
JOURNÉE DE L'AUGUSTE - POUANCÉ;Spectacle;;;Centre-ville;Pouancé;49520;OMBREE D'ANJOU;;;49248;47.740194;-1.172892;;02 41 92 35 19;;;47.740194,-1.172892;Maine-et-Loire
JOURNÉE DES PEINTRES DANS LA NATURE;Exposition;;;2 Route du Syl;;44260;BOUEE;;;44019;47.32014;-1.91138;;;;;47.32014,-1.91138;Loire-Atlantique
JOURNÉE MAGIE;Spectacle;;;Espace Culturel;Rue du Docteur Guépin;44770;PREFAILLES;;;44136;47.13012;-2.21965;;02 40 21 60 37;;;47.13012,-2.21965;Loire-Atlantique
JOURNÉE POTERIE À PRÉVELLES;Stages-Atelier-Jeux;Prévelles;;;;72110;PREVELLES;;;72246;48.15212;0.48374;;02 43 71 21 21;;;48.15212,0.48374;Sarthe
JOURNÉES DE L’ARCHÉOLOGIE - VISITE PRIVILEGE DU CHÂTEAU DE BAUGÉ;Visites et sorties à thèmes;;Château;;Baugé;49150;BAUGE-EN-ANJOU;;;49018;47.5410397;-0.1012308;;02 41 84 00 74;;;47.5410397,-0.1012308;Maine-et-Loire
JOURNÉES DU PATRIMOINE - ÉGLISE;Manifestation Nationale;Eglise;;;;72110;TORCE-EN-VALLEE;;;72359;48.1344;0.39787;;;;;48.1344,0.39787;Sarthe
JOURNÉES EUROPÉENNES DU PATRIMOINE - CHAPELLE AUX GRENOUILLES A CHEMIRÉ;Manifestation Nationale;;;Route de Brissarthe;Chemiré-sur-Sarthe;49640;MORANNES SUR SARTHE-DAUMERAY;;;49220;47.7451302;-0.4354421;;02 41 42 24 96;;;47.7451302,-0.4354421;Maine-et-Loire
JOURNÉES EUROPÉENNES DU PATRIMOINE - CHAPELLE DE DOUCÉ;Manifestation Nationale;;;Doucé;Daumeray;49640;MORANNES SUR SARTHE-DAUMERAY;;;49220;47.6648083;-0.3743584;;OTALS;;;47.6648083,-0.3743584;Maine-et-Loire
JOURNÉES EUROPÉENNES DU PATRIMOINE - EGLISE NOTRE-DAME;Manifestation Nationale;;;Place des Terrasses;;49430;DURTAL;;;49127;47.670898;-0.243812;;02 41 76 30 24;;;47.670898,-0.243812;Maine-et-Loire
JOURNÉES EUROPÉENNES DU PATRIMOINE - EGLISE SAINT CYR ET SAINTE JULIETTE;Manifestation Nationale;;;1 Chemin de la Fontaine,;;49140;JARZE VILLAGES;;;49163;47.5557593;-0.2306405;;;02 41 95 40 03;;47.5557593,-0.2306405;Maine-et-Loire
JOURNÉES EUROPÉENNES DU PATRIMOINE - EGLISE SAINT GERMAIN;Manifestation Nationale;;;Rue de l'Assemblée;Daumeray;49640;MORANNES SUR SARTHE-DAUMERAY;;;49220;47.7039307;-0.3485287;;02 41 33 03 72;;;47.7039307,-0.3485287;Maine-et-Loire
JOURNÉES EUROPÉENNES DU PATRIMOINE - RAIRIES MONTRIEUX;Visites et sorties à thèmes;;;Route de Fougeré;;49430;LES RAIRIES;;;49257;47.6506486;-0.2021803;;02 41 21 15 20;;;47.6506486,-0.2021803;Maine-et-Loire
JOURNÉES EUROPÉENNES DU PATRIMOINE - ÉGLISE SAINT-MALO;Manifestation Nationale;;;Rue du Ronceray;;49140;CORNILLE-LES-CAVES;;;49107;47.4999409;-0.300897;;02 41 45 10 77;;;47.4999409,-0.300897;Maine-et-Loire
JOURNÉES EUROPÉENNES DU PATRIMOINE AU JARDIN CAMIFOLIA;Manifestation Nationale;;Jardin Camifolia;1 rue de l'Arzillé;CHEMILLÉ;49120;CHEMILLE-EN-ANJOU;;;49092;47.2138464;-0.7326124;Route (nationale/départ.)||Sortie n°25 (Chemillé) de l’A87||5,Gare routière||Réseau Aléop Ligne 407 Angers  /Cholet||0,4,Gare SNCF||Angers Chemillé : 30 min	||0,2;02 41 498 498;;;47.2138464,-0.7326124;Maine-et-Loire
JOURNÉES NATIONALES DE L’ARCHÉOLOGIE À BEAUFORT EN VALLÉE;Manifestation Nationale;;Musée Joseph Denais;;Beaufort en Vallée;49250;BEAUFORT-EN-ANJOU;;;49021;47.4401628;-0.2179164;;02 41 80 26 87;;;47.4401628,-0.2179164;Maine-et-Loire
L'ARRACHÉE;Manifestation sportive;;Parc Départemental de l'Isle Briand;;;49220;LE LION-D'ANGERS;;;49176;47.6302948;-0.7105943;;02 41 95 14 32;;;47.6302948,-0.7105943;Maine-et-Loire
L'ART EN MILIEU RURAL;Stages-Atelier-Jeux;collège de COURTANVAUX;;;;72310;BESSE-SUR-BRAYE;;;72035;47.833387;0.753144;;;06.84.30.90.35;;47.833387,0.753144;Sarthe
L'HEURE DES PETITS LECTEURS;Contes et lectures;;;7 Rue des Bouchers;;44270;MACHECOUL-SAINT-MEME;;;44087;46.99205;-1.8203;;02 40 31 47 61;;;46.99205,-1.8203;Loire-Atlantique
L'OEUVRE D'UN JOUR;Exposition;;;Place de l'Eglise Madame;;44760;LES MOUTIERS-EN-RETZ;;;44106;47.06311;-2.00082;;02 40 82 72 05;;;47.06311,-2.00082;Loire-Atlantique
L'UNIVERS DES GRAINES AU JARDIN CAMIFOLIA;Sortie nature / environnement;;Jardin Camifolia;1 Rue de l'Arzillé;CHEMILLE;49120;CHEMILLE-EN-ANJOU;;;49092;47.2138471;-0.7326133;Route (nationale/départ.)||Sortie n°25 (Chemillé) de l’A87||5,Gare routière||Réseau Aléop Ligne 407 Angers  /Cholet	||0,4,Gare SNCF||Angers Chemillé : 30 min	||0,2;02 41 498 498;;;47.2138471,-0.7326133;Maine-et-Loire
LA DISTILLATION DES HUILES ESSENTIELLES AU JARDIN CAMIFOLIA;Visites et sorties à thèmes;;Jardin Camifolia;1 rue de l'Arzillé;Chemillé;49120;CHEMILLE-EN-ANJOU;;;49092;47.2138498;-0.7326124;Route (nationale/départ.)||Sortie n°25 (Chemillé) de l’A87||5,Gare routière||Réseau Aléop Ligne 407 Angers  /Cholet||0,4,Gare SNCF||Angers Chemillé : 30 min||0,2;02 41 498 498;;;47.2138498,-0.7326124;Maine-et-Loire
LA FÊTE DES MÈRES/PÈRES PAR LES COMMERÇANTS DE ST-BREVIN;;;;;;44250;SAINT-BREVIN-LES-PINS;;;44154;47.24695;-2.16582;;02 40 39 44 38;;;47.24695,-2.16582;Loire-Atlantique
LA MOBILITÉ DES JEUNES;Conférence;;FJT L'Iliade;9 Rue du 8 Mai 1945;;53200;CHATEAU-GONTIER-SUR-MAYENNE;;;53062;47.82735;-0.69527;;02 43 91 02 67;;;47.82735,-0.69527;Mayenne
LA MÉRIZE SUR LE GÂTEAU;Fêtes populaires;;;;;72370;ARDENAY-SUR-MERIZE;;;72007;47.994947;0.42314799;;02 43 82 50 99;;;47.994947,0.42314799;Sarthe
LA NUIT DES MUSÉES;Stages-Atelier-Jeux;;;Rue du Dr Roux;;49300;CHOLET;;;49099;47.06772;-0.89801;;02 72 77 22 50;;02 72 77 22 55;47.06772,-0.89801;Maine-et-Loire
LA P'TITE CLEF QUI LIT;Contes et lectures;;;Médiathèque Armel de Wismes;35 rue Tartifume;44210;PORNIC;;;44131;47.11699;-2.10118;;02 40 82 65 90;;;47.11699,-2.10118;Loire-Atlantique
LA RANDO DE LA COLMONT;Manifestation sportive;Salle des sports;;;;53120;BRECE;;;53042;48.3991948;-0.7902073;;;06 32 59 32 72;;48.3991948,-0.7902073;Mayenne
LA SEIGNEURIE DE MAYET AUX MARCHES DE L'ANJOU , UN VOYAGE À TRAVERS NOTRE HISTOIRE LOCALE, MAYET.;Visites et sorties à thèmes;;;Place Eugène Garnier;;72360;MAYET;;;72191;47.76138;0.28731;;;02 43 46 99 43;;47.76138,0.28731;Sarthe
LA VALLÉE DU LAYON : UN VIGNERON ENGAGÉ - SORTIE LPO ANJOU;Sortie nature / environnement;;Domaine de Mirebeau;;Mirebeau;;BELLEVIGNE-EN-LAYON;;;49345;47.29401;-0.59198;;;;;47.29401,-0.59198;Maine-et-Loire
LA VÉLO-FOURCHETTE 2022 : BOUCLE N°1 BONCHAMP-LÈS-LAVAL 🡪 BAZOUGERS;Visites et sorties à thèmes;;Ferme Arc-en-Ciel;Lieu-dit Placé;;53170;BAZOUGERS;;;53025;48.0513011;-0.7102715;;;07 83 12 11 92;;48.0513011,-0.7102715;Mayenne
LAJARRIGE AUTO PASSION;Exposition;;;Avenue Lajarrige;;44500;LA BAULE-ESCOUBLAC;;;44055;47.28095;-2.36873;;07 84 91 50 15;;;47.28095,-2.36873;Loire-Atlantique
LAND ART EN FORÊT DE SILLÉ;Sortie nature / environnement;Office de tourisme de Sillé-le-Guillaume;Place de la Résistance;;;72140;SILLE-LE-GUILLAUME;;;72334;48.18342;-0.12749;;233811333;;;48.18342,-0.12749;Sarthe
LAVAL URBAIN TRAIL;Manifestation sportive;;;84 Avenue Robert Buron;;53000;LAVAL;;;53130;48.07444;-0.76213;;;;;48.07444,-0.76213;Mayenne
LE MANS CLASSIC;Manifestation sportive;;Circuit des 24 Heures du Mans;9, Place Luigi Chinetti;;72000;LE MANS;;;72181;47.9562418;0.20774249;;02 43 40 80 00;;;47.9562418,0.20774249;Sarthe
LE MONDE MYSTÉRIEUX DE L'ESTRAN;Sortie nature / environnement;;;Mouillage de Lanséria;Allée de la Mer;44420;MESQUER;;;44097;47.40386;-2.49308;;02 40 42 64 37;;;47.40386,-2.49308;Loire-Atlantique
LE NEURODON AU CHÂTEAU DES ARCIS;Visites et sorties à thèmes;;Château des Arcis;;;53170;MESLAY-DU-MAINE;;;53152;47.93653;-0.52271;;;06 88 68 23 21;;47.93653,-0.52271;Mayenne
LE SECRET DU LAVOIR;Sortie nature / environnement;;;Parking de l'atelier du potier;Landieul;44410;HERBIGNAC;;;44072;47.44102;-2.3598;;02 40 45 35 96;;;47.44102,-2.3598;Loire-Atlantique
LES ARCHITECTURES À L'ITALIENNE. UN VOYAGE À TRAVERS NOTRE HISTOIRE LOCALE.;Visites et sorties à thèmes;;;Place de l'Hôtel de Ville;;72360;MAYET;;;72191;47.75948;0.27508;;02 43 46 99 43;;;47.75948,0.27508;Sarthe
LES ATELIER CRÉATIFS DE SANDRINE;Stages-Atelier-Jeux;;;Bibliothèque;27 rue du Château;44780;MISSILLAC;;;44098;47.48236;-2.16104;;02 40 01 40 10;;;47.48236,-2.16104;Loire-Atlantique
LES BEAUX DIMANCHES APRÈS-MIDIS : SOLORKESTAR;Concert;;;Lieu-dit Domaine du Gasseau;;72130;SAINT-LEONARD-DES-BOIS;;;72294;48.3600783;-0.0776124;;02 43 34 34 44;;;48.3600783,-0.0776124;Sarthe
LES ECHAPPÉES MUSICALES - FLÛTE TRAVERSIÈRE ET MUSIQUE DE CHAMBRE;Concert;;;Médiathèque;3 rue du Chatelier;44160;PONTCHATEAU;;;44129;47.43749;-2.0899;;02 40 01 40 10;;;47.43749,-2.0899;Loire-Atlantique
LES FOULÉES PRÉFAILLAISES;Manifestation sportive;;;Espace Culturel;Rue du Docteur Guépin;44770;PREFAILLES;;;44136;47.13008;-2.21968;;;06 78 47 10 86;;47.13008,-2.21968;Loire-Atlantique
LES HEURES SUSPENDUES : PHASMES;Spectacle;;Cloître des Ursulines;4 bie Rue Horeau;Château-Gontier;53200;CHATEAU-GONTIER-SUR-MAYENNE;;;53062;47.8289499;-0.6967128;;02 43 09 21 52;;;47.8289499,-0.6967128;Mayenne
LES INSOLITES : CIE DU CERCLE - ABBIE PATRIX - LOKI POUR NE PAS PERDRE LE NORD;Spectacle;;Cimetière de l'hôpital psychiatrique;;;53100;MAYENNE;;;53219;48.3061239;-0.620935;;;06 07 23 31 70;;48.3061239,-0.620935;Mayenne
LES JEUDIS DE CHROMA;Cinéma;;Cinéma Le Royal;409 Avenue Félix Géneslay;;72100;LE MANS;;;72181;47.9686934;0.2042913;;;;;47.9686934,0.2042913;Sarthe
LES JEUDIS DE L'ÉTÉ;Concert;Place du Général de Gaulle;;;;72400;LA FERTE-BERNARD;;;72132;48.18289;0.64892;;02 43 60 72 72;;;48.18289,0.64892;Sarthe
LES JEUDIS DE L'ÉTÉ;Concert;Place du Général de Gaulle;;;;72400;LA FERTE-BERNARD;;;72132;48.18289;0.64892;;02 43 60 72 72;;;48.18289,0.64892;Sarthe
LES JEUDIS DE L'ÉTÉ;Spectacle;;;;;72400;LA FERTE-BERNARD;;;72132;48.1831214;0.64991297;;02 43 60 72 72;;;48.1831214,0.64991297;Sarthe
LES JEUDIS PATRIMOINES AU VIEIL-BAUGÉ;Visites et sorties à thèmes;;;;Le Vieil-Baugé;49150;BAUGE-EN-ANJOU;;;49018;47.53186;-0.11996;;02 41 84 00 74;;;47.53186,-0.11996;Maine-et-Loire
LES JEUX S'INVITENT AU PARC;Exposition;;;Route de Mauléon;;49360;MAULEVRIER;;;49192;47.00581;-0.74454;;02 41 55 50 14;;02 41 55 48 89;47.00581,-0.74454;Maine-et-Loire
LES MASCARADES A CLISSON;Festival;;;;;44190;CLISSON;;;44043;47.08955;-1.27852;;02 40 80 17 80;;;47.08955,-1.27852;Loire-Atlantique
LES P'TITS BOUQUINEURS;Contes et lectures;;;Médiathèque;30 Avenue Jules Verne;44250;SAINT-BREVIN-LES-PINS;;;44154;47.2467;-2.1687;;02 40 27 45 80;;;47.2467,-2.1687;Loire-Atlantique
LES PICTOIRES DE RENÉ;Exposition;;;Le Bourg;;72260;RENE;;;72251;48.258201;0.312844;;;06 24 52 30 67;;48.258201,0.312844;Sarthe
LES PLANTES FOSSILES DE LA VALLÉE DU LAYON - SORTIE LPO ANJOU;Sortie nature / environnement;;;Route de la corniche angevine;;49290;CHAUDEFONDS-SUR-LAYON;;;49082;47.3495811;-0.7637885;;;241444422;;47.3495811,-0.7637885;Maine-et-Loire
LES RENDEZ-VOUS AUX JARDINS DES RENAUDIES;Manifestation Nationale;Les Jardins des Renaudies;;Les Mézerais;;53120;COLOMBIERS-DU-PLESSIS;;;53071;48.3750985;-0.8679857;Route (nationale/départ.)||D504||1,8;02 43 08 02 08;;;48.3750985,-0.8679857;Mayenne
LES RENDEZ-VOUS DU BOIS CHEVALIER;Conférence;;;Le Bois Chevalier;;44650;LEGE;;;44081;46.911713;-1.571575;;;;;46.911713,-1.571575;Loire-Atlantique
LES RENDEZ-VOUS NUMÉRIQUES;Stages-Atelier-Jeux;;;7 Rue des Bouchers;;44270;MACHECOUL-SAINT-MEME;;;44087;46.99205;-1.8203;;02 40 31 47 61;;;46.99205,-1.8203;Loire-Atlantique
LES SECRETS DE LA MOULE DE BOUCHOT;Visites et sorties à thèmes;;;;;44770;LA PLAINE-SUR-MER;;;44126;47.13789;-2.19083;;02 40 21 52 52;;;47.13789,-2.19083;Loire-Atlantique
LIGNES ET COURBES;Exposition;Galerie Eugène;;15 bis Rue Eugène Jamin;;53000;LAVAL;;;53130;48.0718155;-0.7665425;;;06 65 16 10 23;;48.0718155,-0.7665425;Mayenne
LOTO;Stages-Atelier-Jeux;;;Complexe du Pinier;Rue du Stade;44320;CHAUVE;;;44038;47.15627;-1.98362;;;;;47.15627,-1.98362;Loire-Atlantique
L’EAU DANS LA VILLE : LE CARRÉ ET LES THERMES ROMAINS;Visites et sorties à thèmes;;RDV Maison du Pilier-Rouge;43 Grande Rue;;72000;LE MANS;;;72181;48.00836;0.19683;;02 43 47 40 30;;;48.00836,0.19683;Sarthe
L’ENCEINTE CACHÉE ET SECRÈTE EN VISITE FLASH DE 45 MN;Visites et sorties à thèmes;;RDV Musée J-C Boulard-Carré Plantagenêt;2, rue Claude Blondeau;;72000;LE MANS;;;72181;48.0066455;0.1975094;;02 43 47 40 30;;;48.0066455,0.1975094;Sarthe
L’ENCEINTE ROMAINE AUX LAMPIONS;Visites et sorties à thèmes;;Maison du Pilier-Rouge;43 Grande Rue;;72000;LE MANS;;;72181;48.00836;0.19683;;02 43 47 40 30;;;48.00836,0.19683;Sarthe
MARCHE APÉRITIVE;Sortie nature / environnement;aire de covoiturage (près du Liddl);;;;44650;LEGE;;;44081;46.88512;-1.5981;;;06 81 30 38 68;;46.88512,-1.5981;Loire-Atlantique
MARCHE DE LA HAYE-FOUASSIÈRE;Marché;;;Place Pirmil;;44690;LA HAIE-FOUASSIERE;;;44070;47.154803;-1.401339;;02 40 54 80 23;;;47.154803,-1.401339;Loire-Atlantique
MARCHE DE VALLET;Marché;;;place charles de Gaulle;;44330;VALLET;;;44212;47.1613093;-1.26567;;02 40 33 92 00;;;47.1613093,-1.26567;Loire-Atlantique
MARCHE DE VIEILLEVIGNE;Marché;;;Place de Verdun;;44116;VIEILLEVIGNE;;;44216;46.9709531;-1.4325949;;02 40 26 50 21;;;46.9709531,-1.4325949;Loire-Atlantique
MARCHE MÉMOIRE - CIRCUIT COMMENTÉ EN HOMMAGE AUX RÉSISTANTS DÉPORTÉS D'AMBRIÈRES ET DES ENVIRONS;Visites et sorties à thèmes;;Parking de la Mairie;6 Place du Château;;53300;AMBRIERES-LES-VALLEES;;;53003;48.4034883;-0.6299734;;02 43 08 93 50;;;48.4034883,-0.6299734;Mayenne
MARCHES NOCTURNES THARON-PLAGE;Marché;;;Avenue Ernest Chevrier;;44730;SAINT-MICHEL-CHEF-CHEF;;;44182;47.1652;-2.16554;;02 40 64 99 99;;;47.1652,-2.16554;Loire-Atlantique
MARCHES À CLISSON;Marché;;;Centre-ville de Clisson;;44190;CLISSON;;;44043;47.0864509;-1.280468;;02 40 80 17 80;;;47.0864509,-1.280468;Loire-Atlantique
MARCHÉ A LA MENITRÉ;Marché;;;place de l'église;La Ménitré;49250;LA MENITRE;;;49201;47.4019768;-0.2709055;;02 41 45 63 63;;;47.4019768,-0.2709055;Maine-et-Loire
MARCHÉ AUX PLANTES AU JARDIN CAMIFOLIA;Visites et sorties à thèmes;;Jardin Camifolia;1 rue de l'Arzillé;CHEMILLÉ;49120;CHEMILLE-EN-ANJOU;;;49092;47.2144941;-0.7324728;Route (nationale/départ.)||Sortie n°25 (Chemillé) de l'A87||5,Gare routière||Réseau Aléop Ligne 407 Angers / Cholet||0,4,Gare SNCF||Angers - Chemille : 30 min ||0,2;02 41 498 498;;;47.2144941,-0.7324728;Maine-et-Loire
MARCHÉ DE CHAUMES EN RETZ - LA SICAUDAIS;Marché;;La Sicaudais;Parking du Plan d'Eau;Arthon en Retz;44320;CHAUMES-EN-RETZ;;;44005;47.1874;-1.94791;;02 40 21 30 11;;;47.1874,-1.94791;Loire-Atlantique
MARCHÉ DE COSSÉ-LE-VIVIEN;Marché;;;Place du Champ de Foire;;53230;COSSE-LE-VIVIEN;;;53077;47.9444096;-0.912057;;02 43 98 80 24;;;47.9444096,-0.912057;Mayenne
