id_lieu;id_local;nom_lieu;ad_lieu;com_lieu;insee;type;date_maj;ouvert;source;Xlong;Ylat;nbre_pl;nbre_pmr;duree;horaires;proprio;lumiere;comm;localisation;libelle_region;code_region
49023-C-010;AC_MOOJ_17;Saint-Philbert;Place des Vignes - Saint-Philbert-en-Mauges;SÈVREMOINE;49023;Aire de covoiturage;2022-01-20;true;200060010;-1.01768380694113;47.1521233120772;20;;;;Commune de Beaupréau-en-Mauges;;;47.1521233120772,-1.01768380694113;Pays de la Loire;52
44018-C-006;;Place des Echoppes;14 Place des échoppes. 44830 Bouaye;BOUAYE;44018;Parking;2019-08-29;true;224400028;-1.6867233;47.1440223;;;;;;;;47.1440223,-1.6867233;Pays de la Loire;52
44020-C-012;;Aire de covoiturage La Ville Au denis;Rond-Point de la Ville au Denis;BOUGUENAIS;44020;Aire de covoiturage;2019-08-29;true;224400028;-1.627774296;47.16306758;10;;;;;;;47.16306758,-1.627774296;Pays de la Loire;52
44031-C-002;;Parking La Grenouillette;16 Rue du Chéteau. 44670 La Chapelle-Glain;LA CHAPELLE GLAIN;44031;Parking;2019-08-29;true;224400028;-1.197542;47.621879;;;;;;;;47.621879,-1.197542;Pays de la Loire;52
44114-C-008;;P+R Tramway Morliére Paquelais;Avenue de la Paquelais;ORVAULT;44114;Parking relais;2019-08-29;true;224400028;-1.602838754;47.24782352;;;;;;;;47.24782352,-1.602838754;Pays de la Loire;52
44157-C-002;;Parking du Cimetiére;25 Rue de Nantes. 44270 Saint-étienne-de-Mer-Morte;ST ETIENNE DE MER MORTE;44157;Parking;2019-08-29;true;224400028;-1.742395;46.932243;;;;;;;;46.932243,-1.742395;Pays de la Loire;52
44198-C-002;;P+R Chronobus Papillons;Rue des Papillons;LES SORINIERES;44198;Parking relais;2019-08-29;true;224400028;-1.518572377;47.14701651;;;;;;;;47.14701651,-1.518572377;Pays de la Loire;52
85015-C-002;;Aire de covoiturage de Tournebride;;BEAUFOU;85015;Aire de covoiturage;2019-08-29;true;228500013;-1.45523;46.806264;5;;;;;;;46.806264,-1.45523;Pays de la Loire;52
85070-C-004;;Aire de covoiturage du Gué Gorand;9 Rue de l'Atlantique. 85220 Coéx;COEX;85070;Aire de covoiturage;2019-08-29;true;228500013;-1.7644;46.6968;26;;;;;;;46.6968,-1.7644;Pays de la Loire;52
85108-C-002;;Parking du Stade;Rue de la Vigne Rouge. 85260 L'Herbergement;L HERBERGEMENT;85108;Parking;2019-08-29;true;228500013;-1.3784;46.9042;20;;;;;;;46.9042,-1.3784;Pays de la Loire;52
85226-C-004;;Parking Hyper U;55 Rue du Pressoir. 85270 Saint-Hilaire-de-Riez;ST HILAIRE DE RIEZ;85226;Supermarché;2019-08-29;true;228500013;-1.9628;46.7115;30;;;;;;;46.7115,-1.9628;Pays de la Loire;52
44020-C-002;;Aire de covoiturage Piano'Cktail;Rue Ginsheim Gustavsburg;BOUGUENAIS;44020;Aire de covoiturage;2019-08-29;true;224400028;-1.605372212;47.17438095;350;;;;;;;47.17438095,-1.605372212;Pays de la Loire;52
44030-C-001;;Parking Rond Point de La Pierriére;47 Rue de la Briére. 44410 La Chapelle-des-Marais;LA CHAPELLE DES MARAIS;44030;Parking;2019-08-29;true;224400028;-2.245714;47.44422;;;;;;;;47.44422,-2.245714;Pays de la Loire;52
44035-C-005;;P+R Tram-Train La Chapelle-Aulnay Ouest;Avenue Olympe de Gouges;LA CHAPELLE SUR ERDRE;44035;Parking relais;2019-08-29;true;224400028;-1.543677428;47.30793079;;;;;;;;47.30793079,-1.543677428;Pays de la Loire;52
44035-C-007;;P+R Tram-Train La Chapelle-Sur-Erdre Centre Ouest;Avenue de la Gare;LA CHAPELLE SUR ERDRE;44035;Parking relais;2019-08-29;true;224400028;-1.548767735;47.2968762;;;;;;;;47.2968762,-1.548767735;Pays de la Loire;52
44052-C-002;;Parking Les Six Croix;2 Les Six Croix. 44480 Donges;DONGES;44052;Parking;2019-08-29;true;224400028;-2.0935392;47.3407709;;;;;;;;47.3407709,-2.0935392;Pays de la Loire;52
44057-C-001;;Salle des Sports;L'ilette. 44460 Fégréac;FEGREAC;44057;Parking;2019-08-29;true;224400028;-2.040335;47.580333;;;;;;;;47.580333,-2.040335;Pays de la Loire;52
44079-C-001;;Complexe Polyvalent;Les Nouelles. 44430 Le Landreau;LE LANDREAU;44079;Parking;2019-08-29;true;224400028;-1.306032;47.207551;;;;;;;;47.207551,-1.306032;Pays de la Loire;52
44084-C-001;;Aire de covoiturage du Loroux-Bottereau;85 La Cour du Chéne. 44430 Le Loroux-Bottereau;LE LOROUX BOTTEREAU;44084;Aire de covoiturage;2019-08-29;true;224400028;-1.3601582;47.2456153;;;;;;;;47.2456153,-1.3601582;Pays de la Loire;52
44094-C-001;;Aire de covoiturage La Croix de Mauves;Voie Non Dénommée 0941988;MAUVES SUR LOIRE;44094;Aire de covoiturage;2019-08-29;true;224400028;-1.398404309;47.30022606;;;;;;;;47.30022606,-1.398404309;Pays de la Loire;52
44100-C-001;;Parking de L'Ancienne Cure;4 Rue de la Poste. 44690 Monniéres;MONNIERES;44100;Parking;2019-08-29;true;224400028;-1.35443;47.131776;;;;;;;;47.131776,-1.35443;Pays de la Loire;52
44101-C-001;;Aire de covoiturage Georges Brassens;Rue de la Gaudiniére;LA MONTAGNE;44101;Aire de covoiturage;2019-08-29;true;224400028;-1.675951072;47.18329647;85;;;;;;;47.18329647,-1.675951072;Pays de la Loire;52
44109-C-006;;Parking Talensac;Rue Le Nétre;NANTES;44109;Aire de covoiturage;2019-08-29;true;224400028;-1.558357306;47.22025598;;;;;;;;47.22025598,-1.558357306;Pays de la Loire;52
44109-C-009;;Port de L'Erdre;Quai de Versailles;NANTES;44109;Aire de covoiturage;2019-08-29;true;224400028;-1.553724604;47.22520358;;;;;;;;47.22520358,-1.553724604;Pays de la Loire;52
44109-C-016;;P+R Tram-Train Haluchére 1;Rue du Ranzai;NANTES;44109;Parking relais;2019-08-29;true;224400028;-1.52283118;47.24845034;;;;;;;;47.24845034,-1.52283118;Pays de la Loire;52
44109-C-020;;P+R Tramway Ranzay;Route de Saint Joseph;NANTES;44109;Parking relais;2019-08-29;true;224400028;-1.533136661;47.25436327;;;;;;;;47.25436327,-1.533136661;Pays de la Loire;52
44109-C-026;;Parking Baco-Lu 2 Cété Chu;Allée Baco;NANTES;44109;Parking;2019-08-29;true;224400028;-1.551604264;47.21315098;;;;;;;;47.21315098,-1.551604264;Pays de la Loire;52
